cty,bii_crop,n_crop,bii_urban,n_urban,bii_past,n_past,bii_plant,n_plant,bii_natural_combined,n_natural,natfor,other,bii_natfor,bii_other,natfor_capped
HND,0.6188359219226833,102882,0.3063614755628774,2358,0.6576029238492004,100795,0.6458156733043549,92613,0.7292059419060551,284731,6034.432,1550.79,0.7444256393284128,0.6699830753955716,False
HRV,0.5745673490997196,110345,0.3849010097486237,13217,0.623676804526314,48646,0.5784541658361819,45165,0.6221708745948706,179864,1866.352,2037.08,0.656427804171772,0.5907850237545949,False
HTI,0.5630952488431404,22172,0.2931328540694126,2840,0.5841100442228047,39612,0.5827110252806335,59050,0.5933891477976101,15237,366.5,594.5,0.632518408333984,0.5692665675005856,False
HUN,0.561745632835105,403016,0.3738177485382433,59512,0.601900486914592,51294,0.5709048391495053,51710,0.6030907999651332,118484,1280.064,2013.7466,0.6423631429169184,0.5781268286252266,False
IDN,0.6137098366841961,1051769,0.3035234162068392,169759,0.6374051232822416,436121,0.6265808546123746,1780808,0.8685768164271995,5976784,90186.72,38811.6162,0.8955202557692026,0.8059682301922824,False
IND,0.5380752093233869,8322460,0.2944795736980343,281683,0.5966288795438042,1337177,0.5454810031231847,3899899,0.7089915419767964,3481098,59088.692,46381.6667,0.7416043501792632,0.6674439151613368,False
IRL,0.6040134557050407,78614,0.3081904307052672,5976,0.6196151812430466,444998,0.2494648694992065,1,0.6367468522727725,43813,113.114,1750.774,0.7027577971082093,0.6324820173973884,False
IRN,0.596101961039844,1668485,0.3131170385917138,58428,0.655832061873513,1745707,0.564981961057828,67849,0.7824693903858804,6159396,9192.11,104432.0,0.8616650898391787,0.7754985808552608,False
IRQ,0.5835126691431604,638765,0.3240396139330138,38069,0.6232118282246266,182840,0.5517627781568848,39563,0.802323850600883,1762866,703.5,33210.934,0.8894209898029084,0.8004788908226176,False
ISL,0.6801112583686517,101241,0.2899057481628265,685,0.6459369292626014,65,,0,0.815432678473245,1082769,11.834,8153.376,0.9058904288728229,0.8153013859855406,False
ISR,0.5170144357206085,31554,0.3110127431961834,10665,0.5616941241010784,9291,0.499680220063163,9357,0.6524114581444883,69123,54.0,1483.0,0.722082819304442,0.6498745373739978,False
ITP,0.5823608552989976,720980,0.3301151392236673,146018,0.6461882797573008,170672,0.5673522457046621,482062,0.6227196131237928,522511,8742.552,7817.4571,0.6535727161592583,0.5882154445433324,False
JAM,0.5750380551863884,9517,0.2949055344295691,2013,0.5827531229698331,13034,0.5807980931720248,9393,0.6531183392802221,22815,592.386,65.234,0.659661995282205,0.5936957957539846,False
JOR,0.5512954290156783,34612,0.2919133708844257,6265,0.5990935367003779,37084,0.5244861897527467,2963,0.817044484657316,439971,40.856,7785.7,0.9073009528766977,0.8165708575890279,False
JPN,0.5644357867969867,490755,0.2519194834405016,259665,0.6426107205680965,485,0.5249597715342708,138846,0.6501064931265762,1428616,14805.4,6874.2,0.6713951923233756,0.6042556730910381,False
KAZ,0.6651438400158542,3078550,0.3650746342830971,36518,0.7315003647253883,14155030,0.5999932927942533,21739,0.7895385649465679,2789045,3040.8,52239.39,0.8719358923338788,0.784742303100491,False
