cty,bii_crop,wsum_crop,bii_urban,wsum_urban,bii_past,wsum_past,bii_plant,wsum_plant,bii_prim,wsum_prim,bii_secd,wsum_secd,bii_natural_combined,wsum_natural_combined,natfor,other,bii_natfor,bii_other,natfor_capped
JAM,0.5750466281306323,380.79999807477,0.2950555305256741,80.55999957770109,0.5827531230194413,521.3599988743663,0.580798093079721,375.7199981883168,0.7400367809565016,303.9999987259507,0.609700293939666,608.6800002083182,0.6531134201720884,912.6799985393882,592.386,65.234,0.6596570268890496,0.5936913242001447,False
JOR,0.5513773442147287,1390.1599973663688,0.2917815128386523,250.3199992030859,0.5991566856497911,1486.5599985197186,0.5238093360039243,119.99999956786633,0.8911666210250381,10259.879994533956,0.7138054814885694,7335.439991764724,0.8172252549804062,17595.319990456104,40.856,7785.7,0.9075016923584167,0.816751523122575,False
JPN,0.5644357690366575,19630.27993300557,0.2519194832626883,10386.59998255223,0.6426107204778281,19.3999996855855,0.5249597715343702,5553.83994897455,0.7752859838704269,13959.239957466722,0.6096434998143282,43185.39995518327,0.6501064931696096,57144.6399217397,14805.4,6874.2,0.6713951923678182,0.6042556731310363,False
KAZ,0.6651454813844712,123108.9598461464,0.3653323671914792,1461.1599948778749,0.7315043138080505,566229.239784345,0.6000721978754318,872.719989143312,0.8770602963017807,39821.43993645906,0.7409590432710131,71760.63989279419,0.7895308917610847,111582.07983437926,3040.8,52239.39,0.8719274183642358,0.7847346765278123,False
KEN,0.6169453958578563,19653.19995010644,0.3289864545140084,209.9999991804361,0.6989781483284399,44278.9599493593,0.5858656775663306,7009.599977150559,0.825762260584817,20748.679935343564,0.7072578862746898,23426.959957115352,0.7629177328048535,44175.63990613073,3503.23,25735.599,0.836549634916259,0.7528946714246331,False
KGZ,0.6229557319215752,6255.479979813099,0.3758762137119559,530.5199995934963,0.7093474241209281,24680.15998520702,0.5509341578226753,599.9999939799309,0.8279039932383193,7674.839980430901,0.7096862490422786,12203.159981310368,0.7553297882453495,19877.999957427382,1169.53,7558.676,0.826943571504916,0.7442492143544245,False
KHM,0.6035990971447758,12009.83998042345,0.4046629127526825,762.0799976885319,0.6504388377094533,3638.8399904817343,0.64469582255237,7729.399975135922,0.8715331794533778,7300.039985775948,0.6843845027470561,5665.879980109632,0.7897524849317143,12965.919968545437,7000.32,3958.6543,0.8193494256514082,0.7374144830862674,False
KOR,0.540393361510606,7743.639982968569,0.2922300797425718,2144.559994891286,0.5166077739073252,88.83999908715487,0.5450861396280663,2136.63997773081,0.7490803905138805,1156.3999941125512,0.6014675990083428,10973.640001811087,0.615540053147246,12130.039997026324,4028.6,1862.774,0.6356380828100796,0.5720742745290717,False
LAO,0.6600256337046839,9700.15997775644,0.4382637022105152,134.1199989616871,0.6484009639256894,1305.67999663949,0.642804260634114,4237.759976528585,0.8617140202367737,20158.27996569872,0.7169624225393103,13576.399984292686,0.8034592631474685,33734.679964356124,12909.116,7692.224,0.8346227967229515,0.7511605170506563,False
LBN,0.5397975909144472,775.3599980100989,0.3298583474220913,204.2799994572997,0.6257268121556612,802.8799991086125,0.5167898440238397,298.7199989780784,0.6688064549339476,134.75999892503023,0.5592839789611721,304.7999989911914,0.5928613035326956,439.55999732762575,140.588,200.4443,0.6298831601479311,0.5668948441331381,False
LBR,0.6783719906874345,3547.839987292886,0.2882668832813863,48.75999982655048,0.6549834144819198,2534.039994314313,0.6206886607606256,1451.4399924948812,0.8496507146028329,6022.879987053573,0.679654427041458,5837.279992438853,0.7659827093938029,11860.159983716903,6288.84,1220.12,0.778634630368278,0.7007711673314502,False
LBY,0.5866285933918304,3440.4399939477444,0.3492284110481687,425.83999901264906,0.6396236366659692,8773.319991998374,0.5668812343991898,202.1599972546101,0.941782149900716,279661.76003183424,0.7629213903335617,75538.72003924847,0.903744721468754,355200.4799188003,134.332,160397.334,1.0,0.9036641081333997,True
